,screenName,tweet,retweet,favorite_count,created,source
0,APompliano,"There is a non-zero chance that Bitcoin will become the global reserve currency.

Probably the most incredible risk… https://t.co/UFC5D6Wlv7",431,2313,2018-12-19,Twitter
1,APompliano,"The Fed raised rates.

Long Bitcoin, Short the Bankers!",269,1325,2018-12-19,Twitter
2,coindesk,"Bitcoin's price crossed key resistance yesterday, boosting the prospects of a stronger rally above $4,000. https://t.co/jcDIGTQ6vH",197,450,2018-12-19,Twitter
3,CoinAirdropsAll,"RT @CoinAirdropsAll: #Bitcoin #Satoshi #crypto #blockchain #Airdrop
New Airdrop #MinedBlock 📢

MinedBlock is airdropping 200 #MBTX to parti…",3,0,2018-12-20,Twitter
4,VvsZion,"RT @bitcoinist: Blockstream Satellite Now Means Most Of The World Can Use Bitcoin Without Internet
https://t.co/eLyegNVlSq",188,0,2018-12-20,Twitter
5,minefarmbuy,"Transparent, fair, and hard working? Jeesus these boyscouts here need me. #mineon #wearenotretail… https://t.co/0W7YgLyIDN",0,0,2018-12-20,Twitter
6,Airdropnotecom,"RT @Airdropnotecom: #Bitcoin #Satoshi #crypto #blockchain #Airdrop
New Airdrop #Griffex 📢

Griffex is airdropping up to 9400 #GFX to their…",1,0,2018-12-20,Twitter
7,kasootsuuka,"RT @garam61691705: 40秭567垓円　
週間 37位/1,799　資産増加率 245%　現在ポジ(無し) https://t.co/Fg8YaDAoXF  https://t.co/dQ3aH4yvJZ",1,0,2018-12-20,Twitter
8,JZA,RT @volabit: Los datos de #Google muestran que las personas están deseosas de entender '¿Qué es Bitcoin?' ya que fue la pregunta de búsqued…,1,0,2018-12-20,Twitter
9,Bata_io,RT @Bata_io: It is a #Dash feature to double transaction capacity of block. With #SegWit already implemented from original #Bitcoin wallet…,4,0,2018-12-20,Twitter
10,Marian_XRP_hodl,"RT @teedubya: This is one of the top five interviews we've ever had in @badcrypto.

@brockpierce may get some grief from a few, but he's be…",18,0,2018-12-20,Twitter
11,kyoto_bitcoin,@Creeperker 水滴でボタン反応しなかったらスマホ投げそうww,0,0,2018-12-20,Twitter
12,VKMacro_Mania,"RT @APompliano: The Fed raised rates.

Long Bitcoin, Short the Bankers!",269,0,2018-12-20,Twitter
13,TradersAsset,"The Spanish renewable energy company, #AccionaEnergía is going to implement #Blockchain technology to trace electri… https://t.co/6TQXylGf8t",0,0,2018-12-20,Twitter
14,Frank92113611,@paxful I have be scammed by vendors in your site... I have not gotten bitcoin,0,0,2018-12-20,Twitter
15,DeeJayOhenny,RT @DeeJayOhenny: Niggas who did Bitcoin not getting anyone Christmas Presents this year,1,0,2018-12-20,Twitter
16,seth586,"Tried compiling Bitcoin Core 0.17 on FreeBSD 11.2 with ZeroMQ support, ./configure flagged ZMQ as a yes, but having… https://t.co/zfvScVaf82",0,0,2018-12-20,Twitter
17,louieyatco,Forget Institutionals - Millennials Are the Sleeping Crypto Giant https://t.co/Ik47jMy0m9 #BTC #BitCoin… https://t.co/Ez6OQ4tNQX,0,0,2018-12-20,Twitter
18,twdtter5036,Get Free Bitcoin        https://t.co/VKCnjZkfcP,0,0,2018-12-20,Twitter
