,channelTitle,Title,viewCount,likeCount,publishAt,source
0,Forflies,BITCOIN LOOKS POISED TO CRASH: HERE'S WHY - BTC/CRYPTOCURRENCY TRADING ANALYSIS,8232,265,2018-12-19T20:48:28.000Z,Youtube
1,The Crypto Lark,What's Happening to the Price of Bitcoin & Crypto? Bull Run or Bull Trap?,1422,171,2018-12-20T04:18:32.000Z,Youtube
2,"TechCashHouse - Best Bitcoin, Crypto, Money News",TOM LEE’S MOST RECENT BITCOIN Opinion WILL ABSOLUTELY SHOCK YOU - IT’S BETTER THAN EVER BEFORE???,770,74,2018-12-20T05:00:01.000Z,Youtube
3,Boo's BITLAB_부빗,"[생] 부빗 181220 오후 코인시황, 뉴스점검 / #bitcoin #cryptocurrency #비트코인 차트분석 주식선물마진 + 고양이나옴!",232,39,2018-12-19T16:44:06.000Z,Youtube
4,Mr_Kristof,Bitcoin price going to get crushed by the bears?!,4093,321,2018-12-19T21:50:05.000Z,Youtube
5,sunny decree,Bitcoin Top Shorter closed his Position!!!,19838,1103,2018-12-19T05:44:47.000Z,Youtube
6,Alessio Rastani,Will Bitcoin's Bounce Gather Momentum or Run Out of Steam?,24452,1789,2018-12-19T19:31:01.000Z,Youtube
7,Bloomberg Markets and Finance,Will Bitcoin Rebound in 2019? The Bull vs. Bear Case,48798,818,2018-12-17T18:28:32.000Z,Youtube
8,Learn Crypto / Wyckoff SMI,Bitcoin ABC Correction? Institutions Bailing? UK Crypto Tax! Coinbase News! Must Hodl POS Cryptos!,691,55,2018-12-20T02:35:55.000Z,Youtube
9,Crypto Daily,We're Being Manipulated - The Bitcoin Price,26446,3489,2018-12-19T19:43:06.000Z,Youtube
10,Bitcoin-Fund-Manager,BITCOIN DEAD UNLESS INSTITUTIONAL FIAT ONRAMPS!,466,58,2018-12-20T06:07:38.000Z,Youtube
11,Peter Schiff,🔴 Bitcoin is Not a Safe Haven,18077,640,2018-12-18T20:33:39.000Z,Youtube
12,The Crypto Analyst,BITCOIN: How Far Can It Go? BTC Technical Analysis,338,37,2018-12-19T19:22:38.000Z,Youtube
13,Crypto Daily,Start Of The Bitcoin Bull Run?,31647,3185,2018-12-18T16:34:52.000Z,Youtube
14,Kevin Svenson,Bitcoin | Continued Push↗🔴 LIVE ❄ Crypto Winter ❄,4574,314,2018-12-19T05:38:43.000Z,Youtube
